J1,三建,北京
J2,一汽,长春
J3,弹簧厂,天津
J4,造船厂,天津
J5,机车厂,唐山
J6,无线电厂,常州
J7,半导体厂,南京
J8,陈娥,常州
J9,淹渍,深圳
J10,梯峤,福州
J11,没道路,厦门
J12,盘飧,成都
J13,静搒,杭州
J14,随流,西安
J15,烈辉,苏州
J16,罗缎,南京
J17,鈇质,长沙
J18,警场,郑州
J19,骨身,东莞
J20,侪偶,青岛
J21,闾社,沈阳
J22,钱封,宁波
J23,烟水,昆明
J24,遛腿,无锡
J25,太清宫,佛山
J26,谁氏,合肥
J27,阁斋,大连
J28,秋中,福州
J29,秘箓,厦门
J30,出樽,哈尔滨
J31,少妇,济南
J32,网师,温州
J33,东园主章,南宁
J34,棹夫,长春
J35,贴律,泉州
J36,粘聚,石家庄
J37,咸解,贵阳
J38,闹忙,南昌
J39,亡过,金华
J40,昏逾,常州
J41,甲吏,南通
J42,锋颖,嘉兴
J43,微母闾,太原
J44,上斋,徐州
J45,平烟,惠州
J46,鸡雏,珠海
J47,正命,中山
J48,鞅仪韦斯,台州
J49,谎价,烟台
J50,食利,兰州
J51,皧皧,绍兴
J52,兴福,海口
J53,峭异,扬州
J54,灵变,汕头
J55,淫昵,湖州
J56,流溺忘反,盐城
J57,周玩,盐城
J58,余丸,保定
J59,好了,镇江
J60,美的,洛阳
J61,吗对,泰州
